gid,comp_id,date,goals_against,goals_for,home_away,tid,team_name,tricode,year,type,competition_name,hgd,win
2254,2,2018-03-20,3.0,4.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,1.0,1.0
2050,2,2018-03-07,4.0,5.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,1.0,1.0
844,2,2017-12-06,2.0,6.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,4.0,1.0
659,2,2017-11-23,2.0,3.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,1.0,1.0
2147,2,2018-03-13,7.0,4.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,-3.0,0.0
407,2,2017-11-04,4.0,5.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,1.0,1.0
2439,2,2018-04-01,4.0,1.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,-3.0,0.0
1797,2,2018-02-18,4.0,3.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,-1.0,0.0
71,2,2017-10-09,3.0,4.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,1.0,1.0
567,2,2017-11-17,1.0,6.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,5.0,1.0
1316,2,2018-01-10,4.0,5.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,1.0,1.0
2346,2,2018-03-26,4.0,1.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,-3.0,0.0
2003,2,2018-03-03,6.0,8.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,2.0,1.0
1404,2,2018-01-19,4.0,1.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,-3.0,0.0
2205,2,2018-03-17,3.0,0.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,-3.0,0.0
2468,2,2018-04-03,0.0,4.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,4.0,1.0
1692,2,2018-02-11,3.0,4.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,1.0,1.0
228,2,2017-10-21,1.0,7.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,6.0,1.0
2076,2,2018-03-09,3.0,5.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,2.0,1.0
101,2,2017-10-12,4.0,5.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,1.0,1.0
1069,2,2017-12-22,3.0,5.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,2.0,1.0
602,2,2017-11-19,5.0,3.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,-2.0,0.0
382,2,2017-11-02,2.0,1.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,-1.0,0.0
1142,2,2017-12-29,1.0,3.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,2.0,1.0
1092,2,2017-12-24,0.0,3.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,3.0,1.0
900,2,2017-12-10,3.0,4.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,1.0,1.0
1660,2,2018-02-09,2.0,5.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,3.0,1.0
1961,2,2018-03-01,2.0,1.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,-1.0,0.0
1767,2,2018-02-16,1.0,4.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,3.0,1.0
2507,2,2018-04-06,5.0,7.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,2.0,1.0
1935,2,2018-02-27,3.0,4.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,1.0,1.0
871,2,2017-12-08,2.0,5.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,3.0,1.0
2101,2,2018-03-10,3.0,4.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,1.0,1.0
322,2,2017-10-28,4.0,1.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,-3.0,0.0
1160,2,2017-12-30,5.0,3.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,-2.0,0.0
1330,2,2018-01-12,5.0,1.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,-4.0,0.0
2221,2,2018-03-18,1.0,3.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,2.0,1.0
290,2,2017-10-26,2.0,3.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,1.0,1.0
28,2,2017-10-06,3.0,5.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,2.0,1.0
802,2,2017-12-03,2.0,5.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,3.0,1.0
127,2,2017-10-14,1.0,2.0,home,25,Tampa Bay Lightning,TBL,2017,2,2017 NHL Regular Season,1.0,1.0
1595,2,2018-02-04,1.0,3.0,home,29,New Jersey Devils,NJD,2017,2,2017 NHL Regular Season,2.0,1.0
2354,2,2018-03-27,3.0,4.0,home,29,New Jersey Devils,NJD,2017,2,2017 NHL Regular Season,1.0,1.0
2024,2,2018-03-04,3.0,2.0,home,29,New Jersey Devils,NJD,2017,2,2017 NHL Regular Season,-1.0,0.0
