tid,competition_name,type,win,goals_against,goals_for,game_count,team_name,tricode,pp,pk,ppgf,win_pct,avg_gf,avg_ga
1,2010 NHL Regular Season,2,36.0,259.0,223.0,82,Toronto Maple Leafs,TOR,368,426,46.0,0.43902439024390244,2.7195121951219514,3.158536585365854
1,2013 NHL Regular Season,2,38.0,250.0,231.0,79,Toronto Maple Leafs,TOR,362,342,61.0,0.4810126582278481,2.9240506329113924,3.1645569620253164
1,2014 NHL Regular Season,2,29.0,258.0,209.0,78,Toronto Maple Leafs,TOR,319,343,54.0,0.3717948717948718,2.6794871794871793,3.3076923076923075
1,2015 NHL Regular Season,2,29.0,238.0,196.0,79,Toronto Maple Leafs,TOR,324,307,27.0,0.3670886075949367,2.481012658227848,3.0126582278481013
1,2016 NHL Regular Season,2,40.0,246.0,255.0,82,Toronto Maple Leafs,TOR,321,321,69.0,0.4878048780487805,3.1097560975609757,3.0
1,2017 NHL Regular Season,2,47.0,232.0,268.0,79,Toronto Maple Leafs,TOR,256,245,58.0,0.5949367088607594,3.392405063291139,2.9367088607594938
2,2010 NHL Regular Season,2,43.0,203.0,213.0,79,Montréal Canadiens,MTL,399,363,69.0,0.5443037974683544,2.6962025316455698,2.569620253164557
2,2013 NHL Regular Season,2,45.5,206.0,216.0,81,Montréal Canadiens,MTL,387,385,56.0,0.5617283950617284,2.6666666666666665,2.54320987654321
2,2014 NHL Regular Season,2,49.0,188.0,223.0,79,Montréal Canadiens,MTL,316,305,39.0,0.620253164556962,2.8227848101265822,2.3797468354430378
2,2015 NHL Regular Season,2,35.5,229.0,211.0,78,Montréal Canadiens,MTL,293,316,57.0,0.4551282051282051,2.7051282051282053,2.9358974358974357
2,2016 NHL Regular Season,2,47.5,203.0,231.0,82,Montréal Canadiens,MTL,307,286,50.0,0.5792682926829268,2.817073170731707,2.475609756097561
2,2017 NHL Regular Season,2,27.5,258.0,205.0,79,Montréal Canadiens,MTL,300,278,53.0,0.34810126582278483,2.5949367088607596,3.2658227848101267
4,2013 NHL Regular Season,2,36.0,249.0,235.0,81,Winnipeg Jets,WPG,367,344,27.0,0.4444444444444444,2.9012345679012346,3.074074074074074
4,2014 NHL Regular Season,2,41.5,212.0,229.0,80,Winnipeg Jets,WPG,407,361,52.0,0.51875,2.8625,2.65
4,2015 NHL Regular Season,2,35.0,235.0,216.0,80,Winnipeg Jets,WPG,353,327,41.0,0.4375,2.7,2.9375
4,2016 NHL Regular Season,2,40.0,247.0,245.0,80,Winnipeg Jets,WPG,332,317,49.0,0.5,3.0625,3.0875
4,2017 NHL Regular Season,2,51.0,214.0,274.0,80,Winnipeg Jets,WPG,307,304,69.0,0.6375,3.425,2.675
5,2010 NHL Regular Season,2,46.0,201.0,219.0,81,Washington Capitals,WSH,360,329,69.0,0.5679012345679012,2.7037037037037037,2.4814814814814814
5,2013 NHL Regular Season,2,36.0,251.0,242.0,80,Washington Capitals,WSH,354,363,81.0,0.45,3.025,3.1375
5,2014 NHL Regular Season,2,45.0,209.0,251.0,81,Washington Capitals,WSH,351,328,75.0,0.5555555555555556,3.0987654320987654,2.580246913580247
5,2015 NHL Regular Season,2,54.5,186.0,245.0,78,Washington Capitals,WSH,304,303,67.0,0.6987179487179487,3.141025641025641,2.3846153846153846
5,2016 NHL Regular Season,2,54.5,186.0,265.0,81,Washington Capitals,WSH,329,306,67.0,0.6728395061728395,3.271604938271605,2.2962962962962963
5,2017 NHL Regular Season,2,48.0,240.0,255.0,81,Washington Capitals,WSH,327,297,67.0,0.5925925925925926,3.1481481481481484,2.962962962962963
6,2010 NHL Regular Season,2,41.5,222.0,246.0,78,Chicago Blackhawks,CHI,296,310,93.0,0.532051282051282,3.1538461538461537,2.8461538461538463
6,2013 NHL Regular Season,2,46.5,231.0,278.0,82,Chicago Blackhawks,CHI,290,305,73.0,0.5670731707317073,3.3902439024390243,2.817073170731707
6,2014 NHL Regular Season,2,46.5,189.0,232.0,80,Chicago Blackhawks,CHI,252,307,53.0,0.58125,2.9,2.3625
6,2015 NHL Regular Season,2,44.5,207.0,228.0,80,Chicago Blackhawks,CHI,267,297,61.0,0.55625,2.85,2.5875
6,2016 NHL Regular Season,2,50.0,215.0,248.0,82,Chicago Blackhawks,CHI,251,269,46.0,0.6097560975609756,3.024390243902439,2.6219512195121952
6,2017 NHL Regular Season,2,33.0,248.0,225.0,80,Chicago Blackhawks,CHI,268,303,49.0,0.4125,2.8125,3.1
7,2010 NHL Regular Season,2,34.5,230.0,237.0,77,St. Louis Blues,STL,387,384,39.0,0.44805194805194803,3.0779220779220777,2.987012987012987
7,2013 NHL Regular Season,2,52.0,200.0,260.0,82,St. Louis Blues,STL,401,394,81.0,0.6341463414634146,3.1707317073170733,2.4390243902439024
7,2014 NHL Regular Season,2,49.0,199.0,243.0,79,St. Louis Blues,STL,347,332,63.0,0.620253164556962,3.0759493670886076,2.518987341772152
7,2015 NHL Regular Season,2,49.0,205.0,232.0,81,St. Louis Blues,STL,345,310,57.0,0.6049382716049383,2.8641975308641974,2.5308641975308643
7,2016 NHL Regular Season,2,46.0,217.0,236.0,81,St. Louis Blues,STL,311,289,56.0,0.5679012345679012,2.9135802469135803,2.6790123456790123
7,2017 NHL Regular Season,2,42.5,215.0,223.0,79,St. Louis Blues,STL,259,281,43.0,0.5379746835443038,2.8227848101265822,2.721518987341772
8,2010 NHL Regular Season,2,49.0,195.0,242.0,81,Pittsburgh Penguins,PIT,457,444,62.0,0.6049382716049383,2.9876543209876543,2.4074074074074074
8,2013 NHL Regular Season,2,49.0,202.0,241.0,80,Pittsburgh Penguins,PIT,333,356,79.0,0.6125,3.0125,2.525
8,2014 NHL Regular Season,2,43.0,218.0,229.0,82,Pittsburgh Penguins,PIT,407,380,54.0,0.524390243902439,2.792682926829268,2.658536585365854
8,2015 NHL Regular Season,2,46.5,204.0,245.0,81,Pittsburgh Penguins,PIT,313,320,42.0,0.5740740740740741,3.0246913580246915,2.5185185185185186
8,2016 NHL Regular Season,2,47.5,227.0,270.0,79,Pittsburgh Penguins,PIT,294,298,32.0,0.6012658227848101,3.4177215189873418,2.8734177215189876
8,2017 NHL Regular Season,2,46.0,249.0,271.0,82,Pittsburgh Penguins,PIT,326,317,47.0,0.5609756097560976,3.3048780487804876,3.0365853658536586
10,2010 NHL Regular Season,2,25.0,267.0,194.0,80,Edmonton Oilers,EDM,425,404,63.0,0.3125,2.425,3.3375
10,2013 NHL Regular Season,2,27.5,269.0,201.0,80,Edmonton Oilers,EDM,370,365,54.0,0.34375,2.5125,3.3625
10,2014 NHL Regular Season,2,23.5,283.0,198.0,80,Edmonton Oilers,EDM,267,277,45.0,0.29375,2.475,3.5375
10,2015 NHL Regular Season,2,30.0,245.0,203.0,80,Edmonton Oilers,EDM,314,298,47.0,0.375,2.5375,3.0625
