tid,competition_name,type,win,goals_against,goals_for,game_count,team_name,tricode,pp,pk,ppgf,win_pct,avg_gf,avg_ga
1,2010 NHL Regular Season,2,36.0,259.0,223.0,82,Toronto Maple Leafs,TOR,368,426,46.0,0.43902439024390244,2.7195121951219514,3.158536585365854
1,2011 NHL Regular Season,2,20.0,129.0,129.0,40,Toronto Maple Leafs,TOR,192,182,36.0,0.5,3.225,3.225
1,2012 NHL Playoff,3,3.0,22.0,18.0,7,Toronto Maple Leafs,TOR,30,29,5.0,0.42857142857142855,2.5714285714285716,3.142857142857143
1,2012 NHL Regular Season,2,25.0,129.0,144.0,46,Toronto Maple Leafs,TOR,234,230,39.0,0.5434782608695652,3.130434782608696,2.8043478260869565
1,2013 NHL Regular Season,2,38.0,250.0,231.0,79,Toronto Maple Leafs,TOR,362,342,61.0,0.4810126582278481,2.9240506329113924,3.1645569620253164
1,2014 NHL Regular Season,2,29.0,258.0,209.0,78,Toronto Maple Leafs,TOR,319,343,54.0,0.3717948717948718,2.6794871794871793,3.3076923076923075
1,2015 NHL Regular Season,2,29.0,238.0,196.0,79,Toronto Maple Leafs,TOR,324,307,27.0,0.3670886075949367,2.481012658227848,3.0126582278481013
1,2016 NHL Playoff,3,2.0,18.0,16.0,6,Toronto Maple Leafs,TOR,23,25,3.0,0.3333333333333333,2.6666666666666665,3.0
1,2016 NHL Regular Season,2,40.0,246.0,255.0,82,Toronto Maple Leafs,TOR,321,321,69.0,0.4878048780487805,3.1097560975609757,3.0
1,2017 NHL Playoff,3,3.0,28.0,20.0,7,Toronto Maple Leafs,TOR,26,21,4.0,0.42857142857142855,2.857142857142857,4.0
1,2017 NHL Regular Season,2,47.0,232.0,268.0,79,Toronto Maple Leafs,TOR,256,245,58.0,0.5949367088607594,3.392405063291139,2.9367088607594938
2,2010 NHL Playoff,3,3.0,17.0,17.0,7,Montréal Canadiens,MTL,24,31,6.0,0.42857142857142855,2.4285714285714284,2.4285714285714284
2,2010 NHL Regular Season,2,43.0,203.0,213.0,79,Montréal Canadiens,MTL,399,363,69.0,0.5443037974683544,2.6962025316455698,2.569620253164557
